Tran	Lengthdiff	Power	Temp	Sag
tWRZ_2_PRJ	0.144003917141163	6389000	40.4783958457836	1.21435187537351
tPRJ_2_MIJ	0.000117645776583686	81000	0.0330693248388191	0.000992079745164572
tMIJ_2_POH	0.00188220307444453	469000	0.529072837889193	0.0158721851366758
tPOH_2_KOT	0.0373924664620517	469000	10.3652020684852	0.310956062054555
tKOT_2_ZWA	0.0964071378627693	9878000	26.7240853396443	0.801722560189328
tZWA_2_SKC	0.131902007997297	11519000	36.5632731801195	1.09689819540358
tSKC_2_KNC	0.137455736411709	9579000	38.7384765695403	1.16215429708621
tKNC_2_JLK	0.061115211331952	6402000	17.2238005050197	0.51671401515059
Tran	Lengthdiff	Power	Temp	Sag
tWRZ_2_PRJ	0.0724491757045485	6389000	20.3649072267607	0.61094721680282
tPRJ_2_MIJ	5.91882478602201e-05	81000	0.0166373621859897	0.000499120865579692
tMIJ_2_POH	0.000946946888376488	469000	0.266179502292079	0.00798538506876236
tPOH_2_KOT	0.0188123589032614	469000	5.21479110277824	0.156443733083347
tKOT_2_ZWA	0.0485029699806603	9878000	13.445036723672	0.403351101710159
tZWA_2_SKC	0.0663606375638608	11519000	18.3951871278862	0.551855613836586
tSKC_2_KNC	0.0691547493748317	9579000	19.4895441126258	0.584686323378775
tKNC_2_JLK	0.0307474044589355	6402000	8.66539031619003	0.259961709485701
Tran	Lengthdiff	Power	Temp	Sag
tWRZ_2_PRJ	0.00089443426793423	6389000	0.251418607737786	0.00754255823213359
tPRJ_2_MIJ	7.30719136754487e-07	81000	0.000205399533160367	6.16198599481101e-06
tMIJ_2_POH	1.16907023084423e-05	469000	0.00328616669496393	9.8585000848918e-05
tPOH_2_KOT	0.000232251344499446	469000	0.0643801370713363	0.00193140411214009
tKOT_2_ZWA	0.000598802098551232	9878000	0.165988107699654	0.00497964323098962
tZWA_2_SKC	0.00081926713042435	11519000	0.227101075652916	0.00681303226958748
tSKC_2_KNC	0.000853762337953867	9579000	0.24061165571143	0.0072183496713429
tKNC_2_JLK	0.0003795975859191	6402000	0.106980127360371	0.00320940382081112
Tran	Lengthdiff	Power	Temp	Sag
tWRZ_2_PRJ	0.0724491757045485	6389000	20.3649072267607	0.61094721680282
tPRJ_2_MIJ	5.91882478602201e-05	81000	0.0166373621859897	0.000499120865579692
tMIJ_2_POH	0.000946946888376488	469000	0.266179502292079	0.00798538506876236
tPOH_2_KOT	0.0188123589032614	469000	5.21479110277824	0.156443733083347
tKOT_2_ZWA	0.0485029699806603	9878000	13.445036723672	0.403351101710159
tZWA_2_SKC	0.0663606375638608	11519000	18.3951871278862	0.551855613836586
tSKC_2_KNC	0.0691547493748317	9579000	19.4895441126258	0.584686323378775
tKNC_2_JLK	0.0307474044589355	6402000	8.66539031619003	0.259961709485701
Tran	Lengthdiff	Power	Temp	Sag
tWRZ_2_HER	0.0223978942125314	25997000	6.29587615424158	0.188876284627247
tHER_2_LBN	0.0155549125157961	21384000	4.37236652071394	0.131170995621418
tLBN_2_DBR	0.0155549125157961	21384000	4.37236652071394	0.131170995621418
tDBR_2_SOW	0.00168349126161615	1277000	0.4666642443907	0.013999927331721
tSOW_2_OLE	0.0012368790530104	1117000	0.342863216355514	0.0102858964906654
Tran	Lengthdiff	Power	Temp	Sag
tWRZ_2_HER	0.0112685057839315	25997000	3.16749048753769	0.0950247146261307
tHER_2_LBN	0.00782576343959818	21384000	2.19976203837161	0.0659928611511482
tLBN_2_DBR	0.00782576343959818	21384000	2.19976203837161	0.0659928611511482
tDBR_2_SOW	0.000846973864554457	1277000	0.234781390035073	0.00704344170105218
tSOW_2_OLE	0.000622280765810501	1117000	0.172496400775134	0.00517489202325403
Tran	Lengthdiff	Power	Temp	Sag
tWRZ_2_HER	0.000139117355359986	25997000	0.0391048208337987	0.00117314462501396
tHER_2_LBN	9.66143634570926e-05	21384000	0.0271575560292791	0.000814726680878374
tLBN_2_DBR	9.66143634570926e-05	21384000	0.0271575560292791	0.000814726680878374
tDBR_2_SOW	1.0456467464337e-05	1277000	0.00289853567944534	8.69560703833603e-05
tSOW_2_OLE	7.68247858218274e-06	1117000	0.00212958519475474	6.38875558426423e-05
Tran	Lengthdiff	Power	Temp	Sag
tWRZ_2_HER	0.0112685057839315	25997000	3.16749048753769	0.0950247146261307
tHER_2_LBN	0.00782576343959818	21384000	2.19976203837161	0.0659928611511482
tLBN_2_DBR	0.00782576343959818	21384000	2.19976203837161	0.0659928611511482
tDBR_2_SOW	0.000846973864554457	1277000	0.234781390035073	0.00704344170105218
tSOW_2_OLE	0.000622280765810501	1117000	0.172496400775134	0.00517489202325403
Tran	Lengthdiff	Power	Temp	Sag
tANI_2_GUA	0.0152847506919329	3317000	4.30762638219475	0.129228791465843
tGUA_2_WRZ	0.0857127206045902	5163000	24.0931878974562	0.722795636923685
tWRZ_2_BLE	0.0123994561444647	3410000	3.43713268037784	0.103113980411335
tBLE_2_KAW	0.00168349126161615	1210000	0.4666642443907	0.013999927331721
tKAW_2_SIK	0.00879357020258453	2985000	2.43758009773342	0.0731274029320027
Tran	Lengthdiff	Power	Temp	Sag
tANI_2_GUA	0.00768984351580571	3317000	2.16719091278121	0.0650157273834363
tGUA_2_WRZ	0.0431225488756013	5163000	12.121417513627	0.36364252540881
tWRZ_2_BLE	0.00623823570001036	3410000	1.72924066528326	0.0518772199584978
tBLE_2_KAW	0.000846973864554457	1210000	0.234781390035073	0.00704344170105218
tKAW_2_SIK	0.00442409432551472	2985000	1.22636017339383	0.036790805201815
Tran	Lengthdiff	Power	Temp	Sag
tANI_2_GUA	9.49363397069192e-05	3317000	0.0267554433676693	0.000802663301030078
tGUA_2_WRZ	0.000532377146612362	5163000	0.149647129797864	0.00448941389393593
tWRZ_2_BLE	7.70152555560344e-05	3410000	0.0213486501886822	0.000640459505660467
tBLE_2_KAW	1.0456467464337e-05	1210000	0.00289853567944534	8.69560703833603e-05
tKAW_2_SIK	5.46184484733203e-05	2985000	0.0151402490542449	0.000454207471627346
Tran	Lengthdiff	Power	Temp	Sag
tANI_2_GUA	0.00768984351580571	3317000	2.16719091278121	0.0650157273834363
tGUA_2_WRZ	0.0431225488756013	5163000	12.121417513627	0.36364252540881
tWRZ_2_BLE	0.00623823570001036	3410000	1.72924066528326	0.0518772199584978
tBLE_2_KAW	0.000846973864554457	1210000	0.234781390035073	0.00704344170105218
tKAW_2_SIK	0.00442409432551472	2985000	1.22636017339383	0.036790805201815
Tran	Lengthdiff	Power	Temp	Sag
tANI_2_KDN	0.107622653340201	7743000	29.8330293389342	0.894990880168027
tKDN_2_ZAG	0.192957392413859	12183000	53.4878426649613	1.60463527994884
tZAG_2_KLO	0.00550336720766609	18118000	1.55098701001937	0.0465296103005811
tKLO_2_PAN	0.00545381215169982	23495000	1.51179824024925	0.0453539472074776
tKLO_2_PAN	0.00545381215169982	23495000	1.51179824024925	0.0453539472074776
Tran	Lengthdiff	Power	Temp	Sag
tANI_2_KDN	0.0541455585127437	7743000	15.0091638289048	0.450274914867144
tKDN_2_ZAG	0.0970779427672142	12183000	26.9100326451048	0.807300979353143
tZAG_2_KLO	0.0027687748063272	18118000	0.780310234854466	0.023409307045634
tKLO_2_PAN	0.0027438433806708	23495000	0.760594145715464	0.0228178243714639
tKLO_2_PAN	0.0027438433806708	23495000	0.760594145715464	0.0228178243714639
Tran	Lengthdiff	Power	Temp	Sag
tANI_2_KDN	0.000668463685343568	7743000	0.185298318875368	0.00555894956626104
tKDN_2_ZAG	0.00119849312059728	12183000	0.332222625248207	0.00996667875744621
tZAG_2_KLO	3.41824050167361e-05	18118000	0.00963345968956131	0.000289003790686839
tKLO_2_PAN	3.38746096701925e-05	23495000	0.00939005118167239	0.000281701535450172
tKLO_2_PAN	3.38746096701925e-05	23495000	0.00939005118167239	0.000281701535450172
Tran	Lengthdiff	Power	Temp	Sag
tANI_2_KDN	0.0541455585127437	7743000	15.0091638289048	0.450274914867144
tKDN_2_ZAG	0.0970779427672142	12183000	26.9100326451048	0.807300979353143
tZAG_2_KLO	0.0027687748063272	18118000	0.780310234854466	0.023409307045634
tKLO_2_PAN	0.0027438433806708	23495000	0.760594145715464	0.0228178243714639
tKLO_2_PAN	0.0027438433806708	23495000	0.760594145715464	0.0228178243714639
Tran	Lengthdiff	Power	Temp	Sag
tANI_2_HCW	0.0137386949861309	3832000	3.80837005852051	0.114251101755615
tHCW_2_WRZ	0.0634736892836543	8182000	17.5949242643538	0.527847727930614
tWRZ_2_RUD	0.0197819089361531	3018000	5.48355064064922	0.164506519219477
tRUD_2_RED	0.00879357020258453	1852000	2.43758009773342	0.0731274029320027
Tran	Lengthdiff	Power	Temp	Sag
tANI_2_HCW	0.00691201424766064	3832000	1.91601226546684	0.0574803679640052
tHCW_2_WRZ	0.0319339679004997	8182000	8.85210475411588	0.265563142623476
tWRZ_2_RUD	0.00995238896788919	3018000	2.7588049806993	0.082764149420979
tRUD_2_RED	0.00442409432551472	1852000	1.22636017339383	0.036790805201815
Tran	Lengthdiff	Power	Temp	Sag
tANI_2_HCW	8.5333509218799e-05	3832000	0.0236544724131708	0.000709634172395125
tHCW_2_WRZ	0.000394246517288366	8182000	0.109285243877974	0.00327855731633922
tWRZ_2_RUD	0.000122868999625325	3018000	0.0340593207493741	0.00102177962248122
tRUD_2_RED	5.46184484733203e-05	1852000	0.0151402490542449	0.000454207471627346
Tran	Lengthdiff	Power	Temp	Sag
tANI_2_HCW	0.00691201424766064	3832000	1.91601226546684	0.0574803679640052
tHCW_2_WRZ	0.0319339679004997	8182000	8.85210475411588	0.265563142623476
tWRZ_2_RUD	0.00995238896788919	3018000	2.7588049806993	0.082764149420979
tRUD_2_RED	0.00442409432551472	1852000	1.22636017339383	0.036790805201815
